F
build around B
D
B
D
D
C
B
A
C
A
B
C+
B
Sideboard
C
C
B
B-
C-
C+
build around B-
C+
B
B-
C
D
B+
C+
D+
C
C
D
C
C+
C
D
C
C
C+
C
C+
C-
build around A-
B
B
C-
C
F
A
C+
C
C+
F
C
B+
C
B
B+
D+
C+
C
D
C-
C
C-
B
C
D
F
A
C
C
B
B+
C+
D
C
C
C+
C
B+
G
C
C
C
D+
C+
A+
Build around B else C
F
Build around A else B
C
C
B-
C+
C-
D
G
C+
Build around C
B
B-
B
B
B
B-
D
B
B
B
C+
B+
C+
Build around D+
A
B
B-
B-
B
C
C+
C
C+
build around B else C+
C
B-
A
C-
C
C+
A-
B+
sideboard
build around C+
D+
C+
C-
C
C+
C+
build around B
C-
B
B
B
A
B-
A+
build around B else C+
C-
B
C
B-
C
C-
A
build around C
A
D
C
C+
B+
D+
C+
C+
A
C
B
C-
A
B
A-
C
A+
B
B-
C-
build around B+
C
C+
B
B-
B-
C+
B
C
C+
B+
A-
F
B
Build around B
B+
Build around B else F
A+
B-
A
B+
B-
Build around C+
F
B
C+
build around B+
A
B+
C+
B+
B
build around B else C+
F
B+
B+
A-
B
B
Build around B else B-
A-
B+
C
F
A-
B
C
A+
build around B
A
B
B
A
A-
B
C+
B
D
B
B
build around B+
D
F
D
C
D
C
D+
C-
D
D-
F
C+
B-
C+
C
C+
C+
C+
C+
C+
C+
C+
C+
D-
G
F
C+
C+
C+
C+
C+
B
